"Ano","Trimestre","UF","V1022","V2007","V2009","V2010","VD2003","VD3005","VD4016"
"2021","1","Sergipe","Rural","Mulher",66,"Branca",2,"4 anos de estudo",120
"2021","1","Santa Catarina","Urbana","Homem",62,"Branca",3,"12 anos de estudo",1200
"2021","1","Minas Gerais","Urbana","Homem",35,"Parda",2,"6 anos de estudo",800
"2021","1","Mato Grosso do Sul","Urbana","Homem",38,"Parda",5,"12 anos de estudo",300
"2021","1","Rondônia","Urbana","Homem",3,"Branca",3,NA,NA
"2021","1","Espírito Santo","Urbana","Homem",44,"Branca",5,"12 anos de estudo",1800
"2021","1","Rio Grande do Sul","Urbana","Mulher",16,"Branca",4,"8 anos de estudo",NA
"2021","1","Mato Grosso do Sul","Urbana","Mulher",47,"Parda",5,"16 anos ou mais de estudo",5500
"2021","1","Pernambuco","Rural","Homem",34,"Parda",7,"8 anos de estudo",1000
"2021","1","Paraíba","Urbana","Homem",27,"Parda",6,"5 anos de estudo",NA
"2021","1","Pará","Rural","Homem",71,"Parda",6,"Sem instrução e menos de 1 ano de estudo",1200
"2021","1","Rio Grande do Norte","Urbana","Homem",25,"Branca",4,"12 anos de estudo",1500
"2021","1","Rondônia","Urbana","Mulher",14,"Parda",4,"7 anos de estudo",NA
"2021","1","Espírito Santo","Urbana","Mulher",64,"Parda",2,"7 anos de estudo",NA
"2021","1","Maranhão","Urbana","Mulher",49,"Parda",4,"14 anos de estudo",NA
"2021","1","Paraná","Urbana","Homem",11,"Preta",6,"3 anos de estudo",NA
"2021","1","Rio de Janeiro","Urbana","Mulher",11,"Branca",4,"5 anos de estudo",NA
"2021","1","Pernambuco","Urbana","Mulher",53,"Branca",3,"9 anos de estudo",1100
"2021","1","Ceará","Urbana","Homem",38,"Parda",4,"16 anos ou mais de estudo",3000
"2021","1","Ceará","Rural","Homem",12,"Parda",3,"6 anos de estudo",NA
"2021","1","São Paulo","Urbana","Mulher",55,"Branca",2,"15 anos de estudo",NA
"2021","1","Sergipe","Urbana","Mulher",79,"Parda",1,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Amazonas","Urbana","Mulher",48,"Branca",2,"16 anos ou mais de estudo",12000
"2021","1","Minas Gerais","Urbana","Homem",51,"Preta",4,"1 ano de estudo",1100
"2021","1","Paraná","Urbana","Mulher",52,"Branca",3,"12 anos de estudo",1100
"2021","1","Santa Catarina","Urbana","Homem",50,"Branca",6,"9 anos de estudo",1000
"2021","1","Alagoas","Urbana","Mulher",38,"Parda",3,"12 anos de estudo",1255
